OBJECTID,Zoning_ID,Category,Subcategory,Use_Type,Use_Status,Density,Unit,Notes
10657,PCAP_RES_TAHOEPARK,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
10658,PCAP_RES_TAHOEPARK,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
10659,PCAP_RES_TAHOEPARK,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
10660,PCAP_RES_TAHOEPARK,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
10662,PCAP_RES_TAHOEPINES,Public Services,General,Religious Assembly,Minor Use,,NA,NA
10663,PCAP_RES_TAVERN,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,NA
10664,PCAP_RES_TAVERN,Tourist Accommodation,Tourist Accommodation,Bed and Breakfast Facilities,Conditional Use,8,units per acre,NA
10665,PCAP_RES_TAVERN,Public Services,General,Local Public Health and Safety Facilities,Minor Use,,NA,NA
10666,PCAP_RES_TAVERN,Public Services,General,Public Utility Centers,Minor Use,,NA,NA
10667,PCAP_RES_TAVERN,Public Services,General,Day Care Centers/Pre-Schools,Minor Use,,NA,NA
10661,PCAP_RES_TAHOEPINES,Commercial,Services,Professional Offices,Allowed,,NA,Old Tahoe Pines Post Office (Commercial use of the old Tahoe Pines post office building as it exists upon the adoption of this Subdistrict is considered an allowed use.) See Special Policy 2.c.
10668,PCAP_RES_TAVERN,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Conditional Use,,NA,NA
10669,PCAP_RES_TAVERN,Public Services,Linear Public Facilities,Transportation Routes,Conditional Use,,NA,NA
10670,PCAP_RES_TAVERN,Public Services,Linear Public Facilities,Transit Stations and Terminals,Conditional Use,,NA,NA
10671,PCAP_RES_TAVERN,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Minor Use,,NA,"Placer County Code, Section 17.56.060.F"
10672,PCAP_RES_TAVERN,Recreation,Recreation,Participant Sports Facilities,Minor Use,,NA,NA
10673,PCAP_RES_TAVERN,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
10674,PCAP_RES_TAVERN,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
10675,PCAP_RES_TAVERN,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
10676,PCAP_RES_TAVERN,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
10677,PCAP_RES_TAVERN,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
10678,PCAP_RES_TAVERN,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
10679,PCAP_RES_TAVERN,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
10680,PCAP_RES_TAVERN,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
10681,PCAP_RES_TAVERN,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
10682,PCAP_RES_TAVERN,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
10683,PCAP_RES_TAVERN,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
10684,PCAP_RES_TAVERN,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
10685,PCAP_RES_TAVERN,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
10686,PCAP_RES_TAVERN,Resource Management,Vegetation Protection,Industrial Services,Allowed,,NA,NA
10687,PCAP_RES_TAVERN,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
10688,PCAP_RES_TAVERN,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
10689,PCAP_RES_TAVERN,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
10690,PCAP_RES_TAVERN,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
10691,PCAP_RES_TAVERN,Public Services,General,Government Offices,Minor Use,,NA,NA
10692,PCAP_RES_TAVERN_SA1,Public Services,General,Government Offices,Minor Use,,NA,NA
10693,PCAP_RES_TAVERN,Recreation,Recreation,Beach Recreation,Allowed,,NA,NA
10694,PCAP_RES_TAVERN_SA1,Recreation,Recreation,Beach Recreation,Allowed,,NA,NA
10695,PCAP_MU_R,Recreation,Recreation,Outdoor Recreation Concessions,Minor Use,,NA,Not allowed west of Beach Street.
10696,058_SA1,Residential,Residential,Employee Housing,Special Use,,NA,NA
10697,058_SA1,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,NA
10736,058_SA1,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
10737,175_SA1,Residential,Residential,Single Family Dwelling,Allowed,,,
10698,058_SA1,Residential,Residential,Multiple Family Dwelling,Special Use,,NA,Only on the lots in the Glenbrook Subdivision that are designated as eligible for multi-density on the approved subdivision maps. In accordance with Special Policy #5 for this Plan Area.
10699,058_SA1,Commercial,Retail,Eating and Drinking Places,Special Use,,NA,NA
10700,058_SA1,Commercial,Services,Professional Offices,Special Use,,NA,NA
10701,058_SA1,Public Services,General,Local Public Health and Safety Facilities,Special Use,,NA,NA
10702,058_SA1,Public Services,General,Cemetery,Allowed,,NA,NA
10703,058_SA1,Public Services,General,Public Utility Centers,Special Use,,NA,NA
10704,058_SA1,Public Services,General,Local Post Office,Special Use,,NA,NA
10705,058_SA1,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
10706,058_SA1,Public Services,Linear Public Facilities,Transportation Routes,Special Use,,NA,NA
10707,058_SA1,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
10708,058_SA1,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
10709,058_SA1,Recreation,Recreation,Beach Recreation,Allowed,,NA,NA
10710,058_SA1,Recreation,Recreation,Outdoor Recreation Concessions,Special Use,,NA,NA
10711,058_SA1,Recreation,Recreation,Participant Sports Facilities,Special Use,,NA,NA
10712,058_SA1,Recreation,Recreation,Cross Country Ski Courses,Allowed,,NA,NA
10713,058_SA1,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
10714,058_SA1,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
10715,058_SA1,Recreation,Recreation,Golf Courses,Allowed,,NA,NA
10716,058_SA1,Recreation,Recreation,Temporary Events,Allowed,,NA,NA
10717,058_SA1,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
10718,058_SA1,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
10719,058_SA1,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
10720,058_SA1,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
10721,058_SA1,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
10722,058_SA1,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
10723,058_SA1,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
10724,058_SA1,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
10725,058_SA1,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
10726,058_SA1,Resource Management,Range,Farm/Ranch Accessory Structures,Allowed,,NA,NA
10727,058_SA1,Resource Management,Range,Ranch Pasture Management,Allowed,,NA,NA
10728,058_SA1,Resource Management,Range,Grazing,Allowed,,NA,NA
10729,058_SA1,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
10730,058_SA1,Resource Management,Vegetation Protection,Fuel and Ice Dealers,Allowed,,NA,NA
10731,058_SA1,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
10732,058_SA1,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
10733,058_SA1,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
10734,058_SA1,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
10735,058_SA1,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
10764,089B_SA1,Residential,Residential,Employee Housing,Allowed,25,units per acre,NA
10765,089B_SA1,Residential,Residential,Single Family Dwelling,Allowed,1,units per acre,"Parcels greater than 1 acre: 2 units per parcel, provided one unit is an authorized secondary residence. Condominiums only."
10766,089B_SA1,Residential,Residential,Multiple Family Dwelling,Allowed,25,units per acre,NA
10767,089B_SA1,Tourist Accommodation,Tourist Accommodation,"Hotel, Motel, and Other Transient Dwelling Units",Allowed,,NA,NA
10768,089B_SA1,Tourist Accommodation,Tourist Accommodation,Time Sharing (Hotel/Motel Design),Allowed,,NA,NA
10769,089B_SA1,Tourist Accommodation,Tourist Accommodation,Time Sharing (Residential Design),Allowed,,NA,NA
10770,089B_SA1,Commercial,Retail,General Merchandise Stores,Allowed,,NA,NA
10771,089B_SA1,Commercial,Retail,Building Materials and Hardware,Special Use,,NA,NA
10772,089B_SA1,Commercial,Retail,Outdoor Retail Sales,Special Use,,NA,NA
10773,089B_SA1,Commercial,Retail,Eating and Drinking Places,Allowed,,NA,NA
10774,089B_SA1,Commercial,Retail,Service Stations,Special Use,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
10775,089B_SA1,Commercial,Entertainment,Amusements and Recreation Services,Allowed,,NA,NA
10776,089B_SA1,Commercial,Entertainment,Outdoor Amusements,Special Use,,NA,NA
10777,089B_SA1,Commercial,Entertainment,Privately Owned Assembly and Entertainment,Allowed,,NA,Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
10778,089B_SA1,Commercial,Services,Personal Services,Allowed,,NA,NA
10779,089B_SA1,Commercial,Services,Professional Offices,Allowed,,NA,As part of a mixed-use project only.
10780,089B_SA1,Commercial,Services,Repair Services,Special Use,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
10781,089B_SA1,Commercial,Services,Business Support Services,Allowed,,NA,NA
10782,089B_SA1,Commercial,Services,Schools - Business and Vocational,Special Use,,NA,Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
10783,089B_SA1,Commercial,Services,Secondary Storage,Special Use,,NA,NA
10784,089B_SA1,Commercial,Services,Health Care Services,Allowed,,NA,NA
10785,089B_SA1,Commercial,Light Industrial,Small Scale Manufacturing,Special Use,,NA,NA
10787,089B_SA1,Public Services,General,Religious Assembly,Allowed,,NA,NA
10789,089B_SA1,Public Services,General,Cultural Facilities,Allowed,,NA,NA
10790,089B_SA1,Public Services,General,Public Utility Centers,Special Use,,NA,NA
10786,089B_SA1,Commercial,Wholesale/Storage,Vehicle Storage and Parking,Special Use,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
10788,089B_SA1,Public Services,General,Publicly Owned Assembly and Entertainment,Allowed,,NA,Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
10791,089B_SA1,Public Services,General,Day Care Centers/Pre-Schools,Allowed,,NA,As part of a mixed-use project only.
10792,089B_SA1,Public Services,General,Government Offices,Allowed,,NA,NA
10793,089B_SA1,Public Services,General,Local Assembly and Entertainment,Allowed,,NA,NA
10794,089B_SA1,Public Services,General,Local Post Office,Allowed,,NA,As part of a mixed-use project only.
10795,089B_SA1,Public Services,General,Threshold-Related Research Facilities,Allowed,,NA,As part of a mixed-use project only.
10796,089B_SA1,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
10797,089B_SA1,Public Services,Linear Public Facilities,Transportation Routes,Allowed,,NA,NA
10798,089B_SA1,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
10799,089B_SA1,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
10800,089B_SA1,Recreation,Recreation,Outdoor Recreation Concessions,Allowed,,NA,NA
10801,089B_SA1,Recreation,Recreation,Participant Sports Facilities,Special Use,,NA,NA
10802,089B_SA1,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
10803,089B_SA1,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
10804,089B_SA1,Recreation,Recreation,Visitor Information Centers,Special Use,,NA,NA
10805,089B_SA1,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
10806,089B_SA1,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
10807,089B_SA1,Resource Management,Timber Management,Regeneration Harvest,Allowed,,NA,NA
10808,089B_SA1,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
10809,089B_SA1,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
10810,089B_SA1,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
10811,089B_SA1,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
10812,089B_SA1,Resource Management,Timber Management,Tree Farms,Allowed,,NA,NA
10813,089B_SA1,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
10814,089B_SA1,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
10815,089B_SA1,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
10816,089B_SA1,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
10817,089B_SA1,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
10818,089B_SA1,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
10819,089B_SA1,Resource Management,Vegetation Protection,Prescribed Fire/Burning Management,Allowed,,NA,NA
10820,089B_SA1,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
10821,089B_SA1,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
10822,089B_SA1,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
10823,089B_SA1,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
10824,089B_SA1,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
10825,089B_SA1,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
10826,089B_SA1,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
10827,089B_SA1,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
10828,089B_SA2,Residential,Residential,Employee Housing,Special Use,15,dwelling units per acre,NA
10829,089B_SA2,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,"2 units per parcel for parcels greater than or equal to one acre, provided one unit is an authorized secondary residence."
10830,089B_SA2,Residential,Residential,Multiple Family Dwelling,Allowed,25,dwelling units per acre,NA
10831,089B_SA2,Residential,Residential,Multi-Person Dwelling,Special Use,25,persons per acre,NA
10832,089B_SA2,Tourist Accommodation,Tourist Accommodation,Bed and Breakfast Facilities,Allowed,40,dwelling units per acre,NA
10833,089B_SA2,Tourist Accommodation,Tourist Accommodation,"Hotel, Motel, and Other Transient Dwelling Units",Allowed,40,dwelling units per acre,NA
10834,089B_SA2,Tourist Accommodation,Tourist Accommodation,Time Sharing (Hotel/Motel Design),Allowed,40,dwelling units per acre,NA
10835,089B_SA2,Tourist Accommodation,Tourist Accommodation,Time Sharing (Residential Design),Allowed,40,dwelling units per acre,NA
10836,089B_SA2,Commercial,Retail,General Merchandise Stores,Allowed,,NA,NA
10837,089B_SA2,Commercial,Retail,Eating and Drinking Places,Special Use,,NA,NA
10838,089B_SA2,Commercial,Retail,Service Stations,Special Use,,NA,NA
10839,089B_SA2,Commercial,Entertainment,Amusements and Recreation Services,Special Use,,NA,NA
10840,089B_SA2,Commercial,Entertainment,Outdoor Amusements,Special Use,,NA,NA
10841,089B_SA2,Commercial,Entertainment,Privately Owned Assembly and Entertainment,Special Use,,NA,NA
10842,089B_SA2,Commercial,Services,Professional Offices,Allowed,,NA,NA
10843,089B_SA2,Commercial,Services,Business Support Services,Special Use,,NA,NA
10844,089B_SA2,Commercial,Light Industrial,Small Scale Manufacturing,Special Use,,NA,NA
10845,089B_SA2,Commercial,Wholesale/Storage,Vehicle Storage and Parking,Special Use,,NA,NA
10846,089B_SA2,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,NA
10847,089B_SA2,Public Services,General,Religious Assembly,Special Use,,NA,NA
10848,089B_SA2,Public Services,General,Publicly Owned Assembly and Entertainment,Special Use,,NA,NA
10849,089B_SA2,Public Services,General,Cultural Facilities,Special Use,,NA,NA
10850,089B_SA2,Public Services,General,Public Utility Centers,Special Use,,NA,NA
10851,089B_SA2,Public Services,General,Day Care Centers/Pre-Schools,Allowed,,NA,NA
10852,089B_SA2,Public Services,General,Local Assembly and Entertainment,Special Use,,NA,NA
10853,089B_SA2,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
10854,089B_SA2,Public Services,Linear Public Facilities,Transportation Routes,Special Use,,NA,NA
10855,089B_SA2,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
10856,089B_SA2,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
10857,089B_SA2,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
10858,089B_SA2,Recreation,Recreation,Visitor Information Centers,Special Use,,NA,NA
10859,089B_SA2,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
10860,089B_SA2,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
10861,089B_SA2,Resource Management,Timber Management,Regeneration Harvest,Allowed,,NA,NA
10862,089B_SA2,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
10863,089B_SA2,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
10864,089B_SA2,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
10865,089B_SA2,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
10866,089B_SA2,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
10867,089B_SA2,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
10868,089B_SA2,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
10869,089B_SA2,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
10870,089B_SA2,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
10871,089B_SA2,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
10872,089B_SA2,Resource Management,Vegetation Protection,Prescribed Fire/Burning Management,Allowed,,NA,NA
10873,089B_SA2,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
10874,089B_SA2,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
10875,089B_SA2,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
10876,089B_SA2,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
10877,089B_SA2,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
10878,089B_SA2,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
10879,089B_SA2,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
10880,089B_SA3,Residential,Residential,Employee Housing,Special Use,15,dwelling units per acre,NA
10882,089B_SA3,Residential,Residential,Multiple Family Dwelling,Allowed,25,dwelling units per acre,NA
10883,089B_SA3,Residential,Residential,Multi-Person Dwelling,Special Use,25,persons per acre,NA
10884,089B_SA3,Tourist Accommodation,Tourist Accommodation,Bed and Breakfast Facilities,Allowed,40,dwelling units per acre,NA
10885,089B_SA3,Tourist Accommodation,Tourist Accommodation,"Hotel, Motel, and Other Transient Dwelling Units",Allowed,40,dwelling units per acre,NA
10886,089B_SA3,Tourist Accommodation,Tourist Accommodation,Time Sharing (Hotel/Motel Design),Allowed,40,dwelling units per acre,NA
10881,089B_SA3,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,"2 units per parcel for parcels greater than or equal to one acre, provided one unit is an authorized secondary residence."
10887,089B_SA3,Tourist Accommodation,Tourist Accommodation,Time Sharing (Residential Design),Allowed,40,dwelling units per acre,NA
10888,089B_SA3,Commercial,Retail,General Merchandise Stores,Allowed,,NA,NA
10889,089B_SA3,Commercial,Retail,Eating and Drinking Places,Special Use,,NA,NA
10890,089B_SA3,Commercial,Retail,Service Stations,Special Use,,NA,NA
10891,089B_SA3,Commercial,Entertainment,Amusements and Recreation Services,Special Use,,NA,NA
10892,089B_SA3,Commercial,Entertainment,Outdoor Amusements,Special Use,,NA,NA
10893,089B_SA3,Commercial,Entertainment,Privately Owned Assembly and Entertainment,Special Use,,NA,NA
10894,089B_SA3,Commercial,Services,Professional Offices,Allowed,,NA,NA
10895,089B_SA3,Commercial,Services,Business Support Services,Special Use,,NA,NA
10896,089B_SA3,Commercial,Light Industrial,Small Scale Manufacturing,Special Use,,NA,NA
10897,089B_SA3,Commercial,Wholesale/Storage,Vehicle Storage and Parking,Special Use,,NA,NA
10898,089B_SA3,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,NA
10899,089B_SA3,Public Services,General,Religious Assembly,Special Use,,NA,NA
10900,089B_SA3,Public Services,General,Publicly Owned Assembly and Entertainment,Special Use,,NA,NA
10901,089B_SA3,Public Services,General,Cultural Facilities,Special Use,,NA,NA
10902,089B_SA3,Public Services,General,Public Utility Centers,Special Use,,NA,NA
10903,089B_SA3,Public Services,General,Day Care Centers/Pre-Schools,Allowed,,NA,NA
10904,089B_SA3,Public Services,General,Local Assembly and Entertainment,Special Use,,NA,NA
10905,089B_SA3,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
10906,089B_SA3,Public Services,Linear Public Facilities,Transportation Routes,Special Use,,NA,NA
10907,089B_SA3,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
10908,089B_SA3,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
10909,089B_SA3,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
10910,089B_SA3,Recreation,Recreation,Visitor Information Centers,Special Use,,NA,NA
10911,089B_SA3,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
10912,089B_SA3,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
10913,089B_SA3,Resource Management,Timber Management,Regeneration Harvest,Allowed,,NA,NA
10914,089B_SA3,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
10915,089B_SA3,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
10916,089B_SA3,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
10917,089B_SA3,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
10918,089B_SA3,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
10919,089B_SA3,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
10920,089B_SA3,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
10921,089B_SA3,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
10922,089B_SA3,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
10923,089B_SA3,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
10924,089B_SA3,Resource Management,Vegetation Protection,Prescribed Fire/Burning Management,Allowed,,NA,NA
10925,089B_SA3,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
10926,089B_SA3,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
10927,089B_SA3,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
10928,089B_SA3,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
10929,089B_SA3,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
10930,089B_SA3,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
10931,089B_SA3,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
7499,058,Residential,Residential,Multiple Family Dwelling,Special Use,,NA,"Only on the lots in the Glenbrook Subdivision that are designated as eligible for multi-density on the approved subdivision maps. In accordance with Special Policy #5 for this Plan Area 
#5 for this Plan Area."
5803,114_SA3,Residential,Residential,Multiple Family Dwelling,Allowed,8,units per acre,NA
3,MAP_1,Residential,Residential,Single Family Dwelling,Allowed,,NA,Single family dwellings in Meyers Community Center limited to condominiums or townhouses with at least 3 attached units. These uses are not allowed within the portion of the ground floor of a structure that faces the primary entry point for projects adjacent to US 50. This restriction may be waived if the Meyers Advisory Council and the Planning Commission find that the use is otherwise consistent with the intent of the Meyers Area Plan.
4,MAP_1,Residential,Residential,Multiple Family Dwelling,Allowed,20,units per acre,These uses are not allowed within the portion of the ground floor of a structure that faces the primary entry point for projects adjacent to US 50. This restriction may be waived if the Meyers Advisory Council and the Planning Commission find that the use is otherwise consistent with the intent of the Meyers Area Plan.
6,MAP_1,Tourist Accommodation,Tourist Accommodation,Bed and Breakfast Facilities,Allowed,10,units per acre,NA
8,MAP_1,Commercial,Retail,General Merchandise Stores,Allowed,,NA,NA
9,MAP_1,Commercial,Retail,Mail Order and Vending,Allowed,,NA,NA
10,MAP_1,Commercial,Retail,Building Materials and Hardware,Allowed,,NA,NA
11,MAP_1,Commercial,Retail,Nursery,Allowed,,NA,NA
13,MAP_1,Commercial,Retail,Eating and Drinking Places,Allowed,,NA,NA
15,MAP_1,Commercial,Retail,Food and Beverage Retail Sales,Allowed,,NA,NA
16,MAP_1,Commercial,Retail,"Furniture, Home Furnishings and Equipment",Allowed,,NA,NA
17,MAP_1,Commercial,Entertainment,Amusements and Recreation Services,Allowed,,NA,NA
21,MAP_1,Commercial,Services,Personal Services,Allowed,,NA,NA
23,MAP_1,Commercial,Services,Professional Offices,Allowed,,NA,NA
24,MAP_1,Commercial,Services,Broadcasting Studios,Allowed,,NA,NA
26,MAP_1,Commercial,Services,Business Support Services,Allowed,,NA,NA
29,MAP_1,Commercial,Services,Financial Services,Allowed,,NA,NA
31,MAP_1,Commercial,Services,Health Care Services,Allowed,,NA,NA
39,MAP_1,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,NA
40,MAP_1,Public Services,General,Membership Organizations,Allowed,,NA,NA
41,MAP_1,Public Services,General,Religious Assembly,Allowed,,NA,NA
